using cpu device.
train epoch[9/20] loss:0.009
train epoch[9/20] loss:0.009
train epoch[9/20] loss:16.047
train epoch[9/20] loss:15.507
train epoch[9/20] loss:11.152
train epoch[9/20] loss:14.628
train epoch[9/20] loss:0.000
train epoch[9/20] loss:0.000
train epoch[9/20] loss:0.000
train epoch[9/20] loss:0.000
train epoch[9/20] loss:0.000
train epoch[9/20] loss:0.000
train epoch[9/20] loss:0.000
train epoch[9/20] loss:0.000
train epoch[9/20] loss:0.000
train epoch[9/20] loss:0.000
train epoch[9/20] loss:0.000
train epoch[10/20] loss:17.288
train epoch[10/20] loss:13.686
train epoch[10/20] loss:0.007
train epoch[10/20] loss:0.006
train epoch[10/20] loss:0.005
train epoch[10/20] loss:0.018
train epoch[10/20] loss:0.016
train epoch[10/20] loss:0.014
train epoch[10/20] loss:0.013
train epoch[10/20] loss:14.432
train epoch[10/20] loss:14.841
train epoch[10/20] loss:7.603
train epoch[10/20] loss:15.369
train epoch[10/20] loss:0.000
train epoch[10/20] loss:0.000
train epoch[10/20] loss:0.000
train epoch[10/20] loss:0.000
train epoch[10/20] loss:0.000
train epoch[10/20] loss:0.000
train epoch[10/20] loss:0.000
train epoch[10/20] loss:0.000
train epoch[10/20] loss:0.000
train epoch[10/20] loss:0.000
train epoch[10/20] loss:0.000
train epoch[11/20] loss:13.111
train epoch[11/20] loss:17.622
train epoch[11/20] loss:0.005
train epoch[11/20] loss:0.005
train epoch[11/20] loss:0.005
train epoch[11/20] loss:0.005
train epoch[11/20] loss:0.005
train epoch[11/20] loss:0.005
train epoch[11/20] loss:0.005
train epoch[11/20] loss:13.593
train epoch[11/20] loss:13.685
train epoch[11/20] loss:5.878
train epoch[11/20] loss:11.823
train epoch[11/20] loss:0.000
train epoch[11/20] loss:0.000
train epoch[11/20] loss:0.000
train epoch[11/20] loss:0.000
train epoch[11/20] loss:0.000
train epoch[11/20] loss:0.000
train epoch[11/20] loss:0.000
train epoch[11/20] loss:0.000
train epoch[11/20] loss:0.000
train epoch[11/20] loss:0.000
train epoch[11/20] loss:0.000
train epoch[12/20] loss:15.405
train epoch[12/20] loss:12.980
train epoch[12/20] loss:0.003
train epoch[12/20] loss:0.003
train epoch[12/20] loss:0.002
train epoch[12/20] loss:0.006
train epoch[12/20] loss:0.006
train epoch[12/20] loss:0.005
train epoch[12/20] loss:0.005
train epoch[12/20] loss:13.144
train epoch[12/20] loss:11.087
train epoch[12/20] loss:0.222
train epoch[12/20] loss:11.696
train epoch[12/20] loss:0.000
train epoch[12/20] loss:0.000
train epoch[12/20] loss:0.000
train epoch[12/20] loss:0.000
train epoch[12/20] loss:0.000
train epoch[12/20] loss:0.000
train epoch[12/20] loss:0.000
train epoch[12/20] loss:0.000
train epoch[12/20] loss:0.000
train epoch[12/20] loss:0.000
train epoch[12/20] loss:0.000
train epoch[13/20] loss:8.514
train epoch[13/20] loss:8.417
train epoch[13/20] loss:0.001
train epoch[13/20] loss:0.001
train epoch[13/20] loss:0.001
train epoch[13/20] loss:0.002
train epoch[13/20] loss:0.002
train epoch[13/20] loss:0.002
train epoch[13/20] loss:0.002
train epoch[13/20] loss:7.194
train epoch[13/20] loss:9.095
train epoch[13/20] loss:0.018
train epoch[13/20] loss:10.369
train epoch[13/20] loss:0.000
train epoch[13/20] loss:0.000
train epoch[13/20] loss:0.000
train epoch[13/20] loss:0.000
train epoch[13/20] loss:0.000
train epoch[13/20] loss:0.000
train epoch[13/20] loss:0.000
train epoch[13/20] loss:0.000
train epoch[13/20] loss:0.000
train epoch[13/20] loss:0.000
train epoch[13/20] loss:0.000
train epoch[14/20] loss:2.473
train epoch[14/20] loss:0.015
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.000
train epoch[14/20] loss:8.796
train epoch[14/20] loss:2.246
train epoch[14/20] loss:0.001
train epoch[14/20] loss:1.319
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.001
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.001
train epoch[14/20] loss:0.001
train epoch[14/20] loss:0.001
train epoch[15/20] loss:0.001
train epoch[15/20] loss:5.309
train epoch[15/20] loss:0.002
train epoch[15/20] loss:0.001
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.002
train epoch[15/20] loss:0.002
train epoch[15/20] loss:0.001
train epoch[15/20] loss:0.001
train epoch[15/20] loss:0.096
train epoch[15/20] loss:0.005
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.462
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.007
train epoch[16/20] loss:0.001
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.001
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.001
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.004
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.001
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[17/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.003
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[18/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.002
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[19/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.002
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
